"year","month","year_month","cardinal_direction","speed_bin","count_speed_bin","count_total","percent_frequency","cumulative_percent_frequency"
"2010","5","2010-May","W",3,"287","8643","3.321","8.007"
"2010","5","2010-May","W",4,"88","8643","1.018","9.025"
"2010","5","2010-May","W",5,"7","8643","0.081","9.106"
"2010","6","2010-June","E",1,"808","8265","9.776","9.776"
"2010","6","2010-June","E",2,"805","8265","9.740","19.516"
"2010","6","2010-June","E",3,"87","8265","1.053","20.569"
"2010","6","2010-June","E",4,"9","8265","0.109","20.678"
"2010","6","2010-June","E",5,"3","8265","0.036","20.714"
"2010","6","2010-June","N",1,"452","8265","5.469","5.469"
"2010","6","2010-June","N",2,"344","8265","4.162","9.631"
"2010","6","2010-June","N",3,"131","8265","1.585","11.216"
"2010","6","2010-June","N",4,"39","8265","0.472","11.688"
"2010","6","2010-June","N",5,"14","8265","0.169","11.857"
"2010","6","2010-June","N",6,"3","8265","0.036","11.893"
"2010","6","2010-June","N",7,"1","8265","0.012","11.905"
"2010","6","2010-June","N",8,"1","8265","0.012","11.917"
"2010","6","2010-June","NE",1,"841","8265","10.175","10.175"
"2010","6","2010-June","NE",2,"623","8265","7.538","17.713"
"2010","6","2010-June","NE",3,"92","8265","1.113","18.826"
"2010","6","2010-June","NE",4,"20","8265","0.242","19.068"
"2010","6","2010-June","NE",5,"4","8265","0.048","19.116"
"2010","6","2010-June","NE",6,"3","8265","0.036","19.152"
"2010","6","2010-June","NW",1,"187","8265","2.263","2.263"
"2010","6","2010-June","NW",2,"209","8265","2.529","4.792"
"2010","6","2010-June","NW",3,"92","8265","1.113","5.905"
"2010","6","2010-June","NW",4,"11","8265","0.133","6.038"
"2010","6","2010-June","NW",5,"2","8265","0.024","6.062"
"2010","6","2010-June","NW",6,"1","8265","0.012","6.074"
"2010","6","2010-June","S",1,"249","8265","3.013","3.013"
"2010","6","2010-June","S",2,"219","8265","2.650","5.663"
"2010","6","2010-June","S",3,"119","8265","1.440","7.103"
"2010","6","2010-June","S",4,"53","8265","0.641","7.744"
"2010","6","2010-June","S",5,"16","8265","0.194","7.938"
"2010","6","2010-June","S",7,"2","8265","0.024","7.962"
"2010","6","2010-June","SE",1,"360","8265","4.356","4.356"
"2010","6","2010-June","SE",2,"542","8265","6.558","10.914"
"2010","6","2010-June","SE",3,"241","8265","2.916","13.830"
"2010","6","2010-June","SE",4,"131","8265","1.585","15.415"
"2010","6","2010-June","SE",5,"26","8265","0.315","15.730"
"2010","6","2010-June","SE",6,"3","8265","0.036","15.766"
"2010","6","2010-June","SW",1,"239","8265","2.892","2.892"
"2010","6","2010-June","SW",2,"256","8265","3.097","5.989"
"2010","6","2010-June","SW",3,"240","8265","2.904","8.893"
"2010","6","2010-June","SW",4,"33","8265","0.399","9.292"
"2010","6","2010-June","SW",5,"3","8265","0.036","9.328"
"2010","6","2010-June","SW",6,"1","8265","0.012","9.340"
"2010","6","2010-June","W",1,"189","8265","2.287","2.287"
"2010","6","2010-June","W",2,"319","8265","3.860","6.147"
"2010","6","2010-June","W",3,"211","8265","2.553","8.700"
"2010","6","2010-June","W",4,"29","8265","0.351","9.051"
"2010","6","2010-June","W",5,"2","8265","0.024","9.075"
"2010","7","2010-July","E",1,"585","7602","7.695","7.695"
"2010","7","2010-July","E",2,"541","7602","7.117","14.812"
"2010","7","2010-July","E",3,"94","7602","1.237","16.049"
