years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,6,2010-June,3,W,4,1,24,4.167,16.667
2010,6,2010-June,7,E,2,1,24,4.167,20.834
2010,6,2010-June,10,W,1,1,24,4.167,4.167
2010,6,2010-June,13,NW,3,1,24,4.167,4.167
2010,6,2010-June,17,S,2,1,24,4.167,8.334
2010,6,2010-June,21,S,4,1,24,4.167,8.334
2010,6,2010-June,26,SE,2,1,24,4.167,16.667
2010,6,2010-June,29,W,3,1,24,4.167,16.667
2010,7,2010-July,5,E,2,1,24,4.167,4.167
2010,7,2010-July,5,W,1,2,24,8.333,8.333
2010,7,2010-July,9,SE,3,4,24,16.667,29.167
2010,7,2010-July,13,NW,2,1,18,5.556,11.112
2010,7,2010-July,13,NW,7,1,18,5.556,50.001
2010,7,2010-July,17,SW,2,1,24,4.167,12.5
2010,7,2010-July,18,N,3,1,17,5.882,5.882
2010,7,2010-July,28,E,2,1,24,4.167,20.834
2010,7,2010-July,30,NE,1,1,24,4.167,4.167
2010,8,2010-August,1,W,2,4,17,23.529,35.294
2010,8,2010-August,9,NE,1,3,16,18.75,18.75
2010,8,2010-August,17,NW,2,1,24,4.167,4.167
2010,8,2010-August,18,SE,3,5,24,20.833,50.0
2010,8,2010-August,27,E,2,2,24,8.333,8.333
2010,8,2010-August,27,SW,4,3,24,12.5,25.0
2010,9,2010-September,13,E,1,2,21,9.524,9.524
2010,9,2010-September,18,W,2,5,23,21.739,26.087
2010,9,2010-September,19,E,1,1,18,5.556,5.556
2010,9,2010-September,20,S,1,1,24,4.167,4.167
2010,9,2010-September,23,NE,1,1,17,5.882,5.882
2010,9,2010-September,24,S,2,1,21,4.762,14.286
2010,9,2010-September,24,W,1,1,21,4.762,4.762
2010,9,2010-September,27,N,3,1,22,4.545,9.09
2010,9,2010-September,29,SE,1,4,24,16.667,16.667
2010,10,2010-October,4,S,1,1,24,4.167,4.167
2010,10,2010-October,17,NW,3,4,16,25.0,25.0
2010,10,2010-October,24,W,2,2,24,8.333,8.333
2010,10,2010-October,31,S,1,2,22,9.091,9.091
2010,11,2010-November,2,E,1,1,19,5.263,5.263
2010,11,2010-November,10,S,2,4,20,20.0,40.0
2010,11,2010-November,14,S,1,2,23,8.696,8.696
2010,11,2010-November,17,E,2,3,24,12.5,37.5
2010,11,2010-November,20,E,2,3,22,13.636,27.272
2010,11,2010-November,20,S,1,3,22,13.636,13.636
2010,12,2010-December,1,SE,1,2,24,8.333,8.333
2010,12,2010-December,3,NW,2,2,23,8.696,13.044
2010,12,2010-December,5,NE,3,1,24,4.167,20.834
2010,12,2010-December,6,N,3,1,24,4.167,4.167
2010,12,2010-December,7,W,1,3,24,12.5,12.5
2010,12,2010-December,8,E,3,2,24,8.333,12.5
2010,12,2010-December,10,NE,2,5,24,20.833,25.0
2010,12,2010-December,13,NW,2,1,24,4.167,4.167
2010,1,2010-January,16,NE,2,2,14,14.286,14.286
2010,1,2010-January,17,N,3,2,24,8.333,12.5
2010,4,2010-April,8,SE,2,5,24,20.833,37.5
2010,4,2010-April,13,E,4,2,24,8.333,33.333
2010,4,2010-April,15,SE,2,4,24,16.667,16.667
2010,4,2010-April,18,E,5,3,24,12.5,62.499
2010,4,2010-April,20,S,3,1,24,4.167,8.334
2010,4,2010-April,21,SE,3,5,24,20.833,37.499
2010,4,2010-April,21,SW,1,2,24,8.333,8.333
2010,4,2010-April,27,S,5,2,24,8.333,33.332
2010,4,2010-April,28,W,1,1,24,4.167,4.167
2010,4,2010-April,30,NE,2,1,24,4.167,4.167
2010,5,2010-May,4,SE,1,1,24,4.167,4.167
2010,5,2010-May,12,E,3,4,24,16.667,41.667
2010,5,2010-May,13,E,3,1,24,4.167,29.167
2010,5,2010-May,13,NE,1,1,24,4.167,4.167
2010,5,2010-May,14,S,5,2,24,8.333,12.5
2010,5,2010-May,20,NE,1,2,24,8.333,8.333
2010,5,2010-May,22,SE,2,3,24,12.5,16.667
2010,5,2010-May,25,E,1,4,24,16.667,16.667
2010,6,2010-June,1,NE,2,1,24,4.167,20.834
2010,6,2010-June,5,E,2,2,24,8.333,33.333
2010,6,2010-June,6,W,2,3,24,12.5,12.5
2010,6,2010-June,15,NE,2,2,21,9.524,19.048
2010,6,2010-June,23,E,1,2,24,8.333,8.333
2010,6,2010-June,26,SE,1,3,24,12.5,12.5
2010,6,2010-June,28,SE,2,3,24,12.5,16.667
2010,7,2010-July,3,E,2,5,24,20.833,29.166
2010,7,2010-July,3,SE,3,1,24,4.167,12.5
2010,7,2010-July,18,NE,2,1,17,5.882,11.764
2010,7,2010-July,18,SW,2,1,17,5.882,5.882
